icd_value,diagnosisname,count,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
I50.9,"Heart failure, unspecified (CMS code)",30614,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
R09.02,Hypoxemia,28523,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Other symptoms and signs involving the circulatory and respiratory system
Z66,Do not resuscitate,27981,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Do not resuscitate status (Z66),Do not resuscitate
R45.851,Suicidal ideations,27696,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Symptoms and signs involving emotional state
E87.6,Hypokalemia,27438,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),"Other disorders of fluid, electrolyte and acid-base balance"
K59.00,"Constipation, unspecified",26850,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Other functional intestinal disorders
R53.1,Weakness,26490,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",General symptoms and signs (R50-R69),Malaise and fatigue
N18.9,"Chronic kidney disease, unspecified",25041,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Acute kidney failure and chronic kidney disease (N17-N19),Chronic kidney disease (CKD)
F41.9,"Anxiety disorder, unspecified",24784,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)",Other anxiety disorders
R51.9,"Headache, unspecified",24675,ICD-10-CM,,,
R10.13,Epigastric pain,23922,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the digestive system and abdomen (R10-R19),Abdominal and pelvic pain
I95.9,"Hypotension, unspecified",23335,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other and unspecified disorders of the circulatory system (I95-I99),Hypotension
E03.9,"Hypothyroidism, unspecified",22119,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of thyroid gland (E00-E07),Other hypothyroidism
J96.01,Acute respiratory failure with hypoxia (CMS code),21966,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of the respiratory system (J96-J99),"Respiratory failure, not elsewhere classified"
R91.8,Other nonspecific abnormal finding of lung field,21330,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal findings on diagnostic imaging of lung
