departmentname,count,departmentspecialty,is_icu
SURG DOS HEPATOBILIARY MZ-BIL,9,*Unspecified,False
ANESTHESIOLOGY SVC,9,Anesthesiology,False
ALLERGY PARN,9,Allergy and Immunology,False
PK SURG DOM OSTROFF PARN - BIL,9,Gastroenterology,False
ZZZPK HEMATOLOGY/ONCOLOGY SVC,9,*Unspecified,False
ZZZPEDIATRIC NEUROSURGERY SVC,9,Pediatric Neurosurgery,False
PED TRANSITIONAL CARE SVC,9,*Unspecified,False
ZZZPEDS URGENT CARE,9,General Pediatrics,False
PED ECHO MB,9,Pediatric Cardiology,False
HEAD & NECK SURG MB 5,8,"Otolaryngology, Head and Neck Surgery",False
OHNS MIN INV SKULL SURG,8,"Otolaryngology, Head and Neck Surgery",False
GI MED ONC MB 4,8,Gastrointestinal Oncology,False
PK PATH FNA MB 2,8,Pathology,False
RAD ULTRASOUND WHC,8,Radiology,False
PSYCHIATRY OP ECT -OSHPD BIL,8,*Unspecified,False
A4 PCTC MB,8,Inpatient Nursing,False
PED REHABILITATION SVC,8,Pediatric Physical Medicine and Rehabilitation,False
GEN MED MZ 1701,8,General Internal Medicine,False
ZZZOPHTH CORNEA PARN,8,Ophthalmology,False
CARE AT HOME,8,Geriatric Medicine,False
RAD X-RAY MB OI,7,Radiology,False
PSYCHIATRY PEDS  SVC - FPO BIL,7,Psychiatry,False
RAD NUCLEAR MED MZ,7,Nuclear Medicine,False
ORTHO SURG ONC,7,Orthopedic Surgical Oncology,False
PLAS SURG DOS GS BCC MB -BIL,7,*Unspecified,False
GERIATRIC CARE,7,Geriatric Medicine,False
UROLOGY RWS,7,Urology,False
VASCULAR LAB PERIPH,7,Vascular Lab,False
ORTHO SURG ONC MB 4,7,Orthopedic Surgical Oncology,False
OPHTH GENERAL PARN,7,Ophthalmology,False
MH GASTROENTEROLOGY CM,7,Gastroenterology,False
GU MED ONC MB 6,7,Urologic Oncology,False
CARD BOPC,7,Cardiology,False
PERIOP ENDO MB,7,*Unspecified,False
PK PED HEM/ONCOLOGY SVC,7,*Unspecified,False
OBGYN MZ 5,6,Obstetrics and Gynecology,False
CLINICAL LABS,6,Lab,False
IMMUNOTHERAPY PARN,6,Hematology and Oncology,False
STROKE PARN,6,Neurology,False
PK KIDNEY POST PARN,6,Kidney Transplantation,False
PED BERT SVC,6,Psychology,False
PK RAD MRI PARN,6,Radiology,False
PK CARD CRIT CARE SVC,6,Cardiology,False
PK ADVANCED HEART FAIL PARN,6,Heart Transplant,False
SURG OPHTH CORNEA AMB-BIL,6,*Unspecified,False
LAB SOM CYTO CB-BIL,6,Lab,False
OBGYN MZ 6,6,Obstetrics and Gynecology,False
KIDNEY PRE PARN 7,5,Kidney Transplantation,False
URO SURG ONC MZ,5,Urologic Oncology,False
ZZZHEPATOLOGY PARN,5,Hepatology,False
LAB SOM HEMATOLOGY MZ-BIL,5,Lab,False
ENDO SURG MZ,5,Endocrine Surgery,False
PK SURG DOS PLASTICS PARN-BIL,5,*Unspecified,False
RAD CT PARN MB1,5,Radiology CT,False
ADULT ECHO MB 6,5,Cardiology,False
SURG OPHTH NEURO AMB-BIL,5,*Unspecified,False
INTERVENTION PULM MZ CC4,5,Pulmonology,False
OPHTH GENERAL MB 490 FL4,5,Ophthalmology,False
AMBULATORY CALL CENTER,5,*Unspecified,False
PK PATH CYTOLOGY PARN,5,Pathology,False
PK EMU/EPILEPSY MONITORING SVC,5,*Unspecified,False
PK SURG DOS CARDTHOR PEDI PARN-BIL,5,*Unspecified,False
PEDIATRIC DERMATOLOGY SVC,5,Pediatric Dermatology,False
ORTHO FOOT ANKLE MB,4,Orthopedic Surgery,False
